Moisture Level (%),Soil Texture,Bulk Density (g/cm³),Soil pH,Soil Temperature (°C),Porosity (%)
21.6,Sand,1.32,6.6,20.2,46
13.5,Loam,1.38,6.8,18.7,41.5
23.8,Clay,1.44,7.3,22.3,39.8
16.4,Clay,1.28,6.9,22.1,45.5
13,Sand,1.43,7.1,18.3,40
19.7,Silt,1.37,6.4,20.5,46
11.2,Loam,1.41,6.8,19.6,42.5
26,Clay,1.52,7.3,21.2,41
17.3,Loam,1.26,6.6,21.6,44.5
14.9,Clay,1.47,7.2,19.7,38
22.2,Silt,1.33,6.7,20.3,46.5
13.9,Loam,1.39,6.9,18.8,41
24.5,Clay,1.45,7.4,22.4,40
15.5,Clay,1.31,6.8,22.2,45
13.1,Sand,1.46,7,18.1,39.5
19,Silt,1.34,6.6,20.4,47
11.5,Loam,1.42,6.9,19.7,42
27,Clay,1.51,7.1,21.1,40.5
18.4,Loam,1.27,6.5,21.4,43.5
15.1,Clay,1.49,7,19.9,38.5
23,Sand,1.3,6.6,20.1,46
14,Loam,1.38,6.7,18.5,41.5
24.9,Clay,1.43,7.2,22.5,40.2
16,Clay,1.29,6.7,22.1,44.5
12.9,Sand,1.44,7.3,18.2,39.2
19.3,Silt,1.36,6.4,20.3,47.8
10.6,Loam,1.4,6.9,19.8,42.7
26.5,Clay,1.53,7.2,21.3,40.6
18.6,Loam,1.28,6.6,21.7,44.2
15.4,Clay,1.46,7.1,20,38.3
22.5,Sand,1.32,6.5,20,46.3
14.2,Loam,1.37,6.8,18.6,41.3
23.5,Clay,1.42,7.3,22.2,40.1
16.5,Clay,1.3,6.9,22,44.8
12.7,Sand,1.47,7.1,18.4,39.8
20.3,Silt,1.35,6.5,20.5,47.9
10.9,Loam,1.41,6.9,19.7,42.8
27.2,Clay,1.5,7.2,21.2,40.9
18.3,Loam,1.29,6.7,21.6,44.4
14.8,Clay,1.48,7.1,19.9,38.4
21.8,Sand,1.31,6.6,20.1,46.1
13.8,Loam,1.39,6.8,18.9,41.2
24.3,Clay,1.43,7.2,22.3,40.4
